vendor,product,max_priority,mean_priority,n_cves
siemens,simatic_s7 300_cpu_312_firmware,,,1
siemens,simatic_s7 400h_v6_firmware,,,1
siemens,simatic_s7 plcsim,,,3
siemens,simatic_s7 plcsim_advanced_firmware,,,4
siemens,simatic_step_7,,,2
siemens,simatic_wincc_oa,,,1
siemens,simatic_wincc_runtime_advanced,,,6
siemens,simcenter_amesim,,,1
siemens,simcenter_femap,,,51
siemens,simcenter_star ccm\+,,,1
siemens,simcenter_star ccm\+_viewer,,,3
siemens,simotics_connect_400_firmware,,,3
siemens,simotion_d425 2_dp_firmware,,,1
siemens,sinamics_sl150_firmware,,,2
siemens,sinec_ins,,,14
siemens,sinec_network_management_system,,,7
siemens,sinec_nms,,,26
siemens,sinec_security_monitor,,,4
siemens,sinec_traffic_analyzer,,,12
siemens,sinema_remote_connect,,,1
siemens,sinema_remote_connect_client,,,6
siemens,sinema_remote_connect_server,,,40
siemens,sinema_server,,,1
siemens,sinumerik_808d_firmware,,,1
siemens,sinumerik_840d_sl_firmware,,,1
siemens,sinumerik_analyse_mycondition_firmware,,,1
siemens,sinumerik_edge,,,1
siemens,sinumerik_mc_firmware,,,1
siemens,sipass_integrated,,,5
siemens,sipass_integrated_ac5102_\(acc g2\)_firmware,,,1
siemens,sipass_integrated_acc ap_firmware,,,1
siemens,siplus_tim_1531_irc_firmware,,,1
siemens,siport,,,1
siemens,siport_mp,,,1
siemens,siprotec_5_6md85_firmware,,,2
siemens,siprotec_5_with_cpu_variant_cp050,,,3
siemens,siveillance_video,,,2
siemens,siveillance_video_client,,,1
siemens,siveillance_video_management_software_2019_r1,,,1
siemens,siveillance_video_mobile_server,,,1
siemens,siveillance_video_open_network_bridge,,,1
siemens,software_center,,,1
siemens,solid_edge,,,28
siemens,solid_edge_se2020,,,3
siemens,solid_edge_se2020_firmware,,,2
siemens,solid_edge_se2021_firmware,,,3
siemens,solid_edge_se2022,,,2
siemens,solid_edge_se2023,,,30
siemens,solid_edge_se2024,,,14
siemens,spectrum_power_4,,,4
siemens,spectrum_power_5,,,1
siemens,spectrum_power_7,,,3
siemens,star ccm\+,,,1
siemens,syngo_dynamics_cardiovascular_imaging_and_information_system,,,7
siemens,teamcenter,,,5
siemens,teamcenter_active_workspace,,,6
siemens,teamcenter_visualization,,,3
siemens,tecnomatix,,,18
siemens,tecnomatix_plant_simulation,,,65
siemens,tecnomatix_robotexpert,,,1
siemens,telecontrol_server_basic,,,1
siemens,tia_administrator,,,1
siemens,tia_multiuser_server,,,1
siemens,tia_portal,,,1
siemens,totally_integrated_automation_portal,,,1
siemens,unicam_fx,,,1
siemens,wincc,,,1
siemens,xpedition_designer,,,1
siemens,xpedition_layout_browser,,,1
siemens healthineers,syngo_fastview,,,3
silabs,unify_software_development_kit,,,1
silabs,z\/ip_gateway_sdk,,,5
siretta,quartz gold_firmware,,,2
siteorigin,siteorigin_widgets_bundle,,,1
skeepers,verified_reviews_\(avis_verifies\),,,1
skyhighsecurity,secure_web_gateway,,,1
smart hmi,webiq,,,1
smartptt,scada_server,,,2
smartptt,smartptt_scada,,,1
snowflake,snowflake_connector,,,1
softing,datafeed_opc_suite,,,4
softing,edgeaggregator,,,4
softing,opc,,,2
softing,opc_ua_c\+\+_software_development_kit,,,1
softing,secure_integration_server,,,2
solar log,2000_pm\+_firmware,,,1
solar log,solar log_250_firmware,,,1
solax,pocket_wifi_3_firmware,,,1
sophos,cloud_optix,,,1
spidercontrol,scadawebserver,,,1
splunk,splunk,,,5
squid cache,squid,,,1
starliteproject,starlite,,,1
sungrowpower,winet s_firmware,,,2
supcon,inplant_scada,,,2
swiftsensors,sg3 1010_firmware,,,1
swisslog healthcare,hmi 3_control_panel_firmware,,,8
talend,open_studio,,,1
talend,open_studio_for_mdm,,,1
tel ster,telwin_scada_webinterface,,,1
tenable,nessus_amazon_machine_image,,,1
tenda,ax3_firmware,,,1
tenda,it7 lcs_firmware,,,1
tenda,o3_firmware1.0.0.10\(2478\),,,1
teradici,pcoip_connection_manager_and_security_gateway,,,1
tesla,model_3_firmware,,,1
tesla,solarcity_solar_monitoring_gateway,,,1
the guild,graphql_mesh,,,1
the guild,graphql_mesh_cli,,,1
thorntech,sftp_gateway_firmware,,,1
thoughtworks,gocd,,,1
thrivethemes,focusblog,,,2
tianyisc,tewa 700g_firmware,,,1
tibco,api_exchange_gateway,,,1
tibco,hawk,,,2
tibco,partnerexpress,,,3
tieline,ip_audtio_gateway_firmware,,,1
titanhq,spamtitan,,,2
tranzware_payment_gateway_project,tranzware_payment_gateway,,,2
trianglemicroworks,dnp3_source_code_library,,,1
trianglemicroworks,iec_60870 6_software_library,,,1
trianglemicroworks,iec_61850_source_code_library,,,1
trianglemicroworks,scada_data_gateway,,,18
tripay,payment_gateway,,,1
tyk,tyk,,,3
ubikasec,waap_cloud,,,1
ui,unifi_network_application,,,1
unified automation,.net_based_opc_ua_client\/server_sdk,,,1
unified automation,opc_ua_c\+\+_demo_server,,,2
unified automation,uagateway,,,3
unitronics,visilogic,,,1
unknown,unknown,,,428
vadesecure,secure_gateway,,,3
vanderwijk,content_blocks,,,2
vertigis,weboffice,,,1
visam,vbase_editor,,,1
visual_voice_mail_project,visual_voice_mail,,,1
vmware,spring_cloud_gateway,,,3
void,aural_rec_monitor,,,1
void,aurall_rec_monitor,,,1
voltronicpower,snmp_web_pro,,,1
wago,0852 0303_firmware,,,6
wago,0852 0602_firmware,,,1
wago,750 331_firmware,,,2
wago,750 352_firmware,,,1
wago,750 362_firmware,,,1
wago,750 363\/040 000_firmware,,,1
wago,750 8100_firmware,,,6
wago,750 8202_firmware,,,1
wago,750 823_firmware,,,8
wago,750 852_firmware,,,1
wago,750 880\/040 000_firmware,,,1
wago,750 890\/040 000_firmware,,,1
wago,750 893_firmware,,,10
wago,751 9301_firmware,,,4
wago,852 111\/000 001_firmware,,,1
wago,compact_controller_100_firmware,,,3
wago,pfc100_firmware,,,1
wago,pfc200_firmware,,,1
wago,pfc_100_firmware,,,1
wago,telecontrol_configurator,,,1
watchguard,authentication_gateway,,,2
wavlink,wl wn533a8_firmware,,,1
we con,plc_editor,,,4
weintek,cmt fhd_firmware,,,3
weintek,cmt2078x_firmware,,,1
wireshark,wireshark,,,1
wisdomgarden,tronclass_ilearn,,,1
woo myghpay payment gateway_project,woo myghpay payment gateway,,,1
woocommerce,stripe_payment_gateway,,,3
woocommerce,woocommerce,,,1
wp media,search_\&_replace,,,1
xarrow,xarrow,,,3
xinje,xd5e 30r e_firmware,,,1
xinje,xd\/e_series_plc_program_tool,,,2
yanco,woocommerce_cvr_payment_gateway,,,1
yanco,woocommerce_ean_payment_gateway,,,1
yokogawa,aw810d_firmware,,,1
yokogawa,b\/m9000_vp,,,3
yokogawa,centum_cs_3000_cp401_firmware,,,1
yokogawa,centum_cs_3000_firmware,,,11
yokogawa,centum_vp_firmware,,,2
yokogawa,stardom_fcj_firmware,,,3
yokogawa,widefield3,,,1
yokogawa,wtviewere_761941,,,1
zohocorp,manageengine_application_control_plus,,,1
zohocorp,manageengine_opmanager,,,1
zte,zxhn_f677_firmware,,,1
zte,zxhn_f680_firmware,,,1
zte,zxhn_h2640_firmware,,,1
