vendor,product,asset_type,Risk
barracuda,t100b_firmware,Other ICS Device,0.5045915952000001
baxter,spectrum_wireless_battery_module_firmware,Other ICS Device,0.3207366288000001
beckhoff,authelia bhf,Other ICS Device,0.33075635040000007
beckhoff,bk9000_firmware,Other ICS Device,0.46097341920000007
beckhoff,cx9020,Other ICS Device,0.45753120000000014
beckhoff,ipc_diagnostics_package,Other ICS Device,0.3523026528
beckhoff,ipc_diagnostics_ua_server,Other ICS Device,0.30784320000000004
beckhoff,mdp_package,Other ICS Device,0.4043632320000001
beckhoff,tf6100_firmware,Other ICS Device,0.43821933120000006
beckhoff,twincat_driver,Other ICS Device,0.37392122880000006
beckhoff,twincat_extended_automation_runtime,Other ICS Device,0.3562272
belden,hirschmann_bat c2_firmware,Other ICS Device,0.5329098432000001
belden,hirschmann_hios,Other ICS Device,0.47135390400000016
belden,tofino_xenon_security_appliance_firmware,Other ICS Device,0.4429527984000002
bestpractical,request_tracker,Other ICS Device,0.4402097280000001
bitdefender,endpoint_security_tools,Other ICS Device,0.42339175200000007
bkw,solar log_500_firmware,Other ICS Device,0.4936589280000001
bladex,springblade,Other ICS Device,0.30301689600000004
bosch,video_streaming_gateway,Other ICS Device,0.5447475936
boschrexroth,ctrlx_hmi_web_panel_wr2107_firmware,Other ICS Device,0.41634099360000004
broadcom,advanced_secure_gateway,Other ICS Device,0.5549188176000002
broadcom,raid_controller_web_interface,Other ICS Device,0.4605074208000001
broadcom,symantec_messaging_gateway,Other ICS Device,0.5964207984000002
broadcom,symantec_proxysg,Other ICS Device,0.5418179424000001
broadcom,vmware_nsx,Other ICS Device,0.3366292608000001
busbaer,eisbaer_scada,Other ICS Device,0.4998672000000001
byzoro,smart_s45f_firmware,Other ICS Device,0.597568104
carel,pcoweb_card_firmware,Other ICS Device,0.5274684576000002
cassianetworks,xc1000_firmware,Other ICS Device,0.45753120000000014
cellopoint,secure_email_gateway,Other ICS Device,0.5783920128000002
ceph,ceph ansible,Other ICS Device,0.25200080640000005
chinamobile,intelligent_home_gateway_firmware,Other ICS Device,0.5996341008000001
chinamobileltd,gpn2.4p21 c cn_firmware,Other ICS Device,0.43424640000000003
chinatelecom,epon_tianyi_gateway_zxhn_f450_firmware,Other ICS Device,0.4397207472000001
chirpstack,gateway_bridge,Other ICS Device,0.389353608
chirpstack,network_server,Other ICS Device,0.4344725952000001
cilium,cilium,Other ICS Device,0.37365602400000003
ciphermail,gateway,Other ICS Device,0.5017804848
circutor,compact_dc s_basic_firmware,Other ICS Device,0.5648317920000002
cisco,adaptive_security_appliance,Switch,0.52049444832
cisco,adaptive_security_appliance_software,Switch,0.51431532768
cisco,aironet_access_point_software,Switch,0.39550896
cisco,asyncos,Switch,0.40814928
cisco,cyber_vision,Switch,0.4191264
cisco,duo_network_gateway,Switch,0.31642513056
cisco,email_security_appliance,Switch,0.45284911056000005
cisco,firepower_threat_defense,Switch,0.54236818944
cisco,ios,Switch,0.49950552960000005
cisco,ios_xe,Switch,0.45937584000000004
cisco,ios_xr,Switch,0.5674405968
cisco,ironport_email_security_appliance,Switch,0.5032843200000001
cisco,meraki_mx64_firmware,Switch,0.45937584000000004
cisco,meraki_mx65_firmware,Switch,0.4191264
cisco,meraki_z4c_firmware,Switch,0.4191264
cisco,nx os,Switch,0.5742211305600001
cisco,openh264,Switch,0.43686143424
cisco,packet_data_network_gateway,Switch,0.4191264
cisco,secure_email_and_web_manager,Switch,0.36789984000000003
cisco,secure_email_gateway,Switch,0.5032843200000001
cisco,umbrella_secure_web_gateway,Switch,0.6188397969600001
citrix,application_delivery_controller,Other ICS Device,0.5282220384
citrix,application_delivery_controller_firmware,Other ICS Device,0.5227343856000001
citrix,application_delivery_management,Other ICS Device,0.39984386400000005
citrix,gateway,Other ICS Device,0.49240154880000003
citrix,gateway_firmware,Other ICS Device,0.38102400000000003
citrix,gateway_plug in,Other ICS Device,0.5357617776000001
citrix,gateway_plug in_for_linux,Other ICS Device,0.39077791200000006
citrix,netscaler_application_delivery_controller,Other ICS Device,0.5722780896
cloudflare,warp,Other ICS Device,0.40569500160000016
clusterlabs,pcs,Other ICS Device,0.46865710080000006
codesys,control_for_beaglebone,Other ICS Device,0.4785585840000001
codesys,control_for_beaglebone_sl,Other ICS Device,0.5012788032000002
codesys,gateway,Other ICS Device,0.5375208384000002
codesys,opc_da_server,Gateway,0.296352
codesys,oscat_basic_library,Other ICS Device,0.23042063520000003
codesys,plcwinnt,Other ICS Device,0.5353102944000001
coinmarketstats,bitcoin_\/_altcoin_payment_gateway_for_woocommerce,Other ICS Device,0.45753120000000014
collective.dms.basecontent_project,collective.dms.basecontent,Other ICS Device,0.3415308624
combined_charging_system_project,combined_charging_system_firmware,Other ICS Device,0.3646490400000001
commscope,dg3450_firmware,Other ICS Device,0.3761299584
compassplus,tranzware_e commerce_payment_gateway,Other ICS Device,0.43967417760000005
contec,conprosys_hmi_system,Other ICS Device,0.6048
contec,cps mg341 adsc1 111_firmware,Other ICS Device,0.5511481920000001
coredns.io,coredns,Other ICS Device,0.2597616
cosmos cloud,cosmos_server,Other ICS Device,0.5367333888000002
couchbase,couchbase_server,Other ICS Device,0.46927127520000006
couchbase,sync_gateway,Other ICS Device,0.5324426352000001
cryptopp,crypto\+\+,Other ICS Device,0.38777659200000003
dbsoft,sglac,Other ICS Device,0.45753120000000014
dcce,mac1100_plc_firmware,Other ICS Device,0.45753120000000014
dell,edge_gateway_3200_firmware,Other ICS Device,0.38616480000000003
dell,edge_gateway_5000_firmware,Other ICS Device,0.38616480000000003
